"","release_year","rank_in_year","imdb_rating","mpaa_rating","film_title","film_budget","length_in_min","domestic_distributor","worldwide_gross","domestic_gross","genre_1","genre_2","genre_3","film_profit"
"1",2019,1,8.5,"PG-13","Avengers: Endgame",3.56e+08,181,"Walt Disney",2797800564,858373000,"Action","Adventure","Drama",2441800564
"2",2019,2,7,"PG","The Lion King",2.6e+08,118,"Walt Disney",1656943394,543638043,"Animation","Adventure","Drama",1396943394
"3",2019,3,7.2,"PG","Frozen II",1.5e+08,103,"Walt Disney",1420560456,470089732,"Animation","Adventure","Comedy",1270560456
"4",2019,4,7.6,"PG-13","Spider-Man: Far from Home",1.6e+08,129,"Sony Pictures",1131927996,390532085,"Action","Adventure","Sci-Fi",971927996
"5",2019,5,6.9,"PG-13","Captain Marvel",1.75e+08,123,"Walt Disney",1128274794,426829839,"Action","Adventure","Sci-Fi",953274794
"6",2019,6,7.9,"G","Toy Story 4",2e+08,100,"Walt Disney",1073394593,434038008,"Animation","Adventure","Comedy",873394593
"7",2019,7,8.6,"R","Joker",5.5e+07,122,"Warner Bros.",1071030470,334830470,"Crime","Drama","Thriller",1016030470
"8",2019,8,7,"PG","Aladdin",1.83e+08,128,"Walt Disney",1050693953,355559216,"Adventure","Family","Fantasy",867693953
"9",2019,9,6.9,"PG-13","Star Wars: Episode IX - The Rise of Skywalker",2e+08,142,"Walt Disney",1048859152,503458989,"Action","Adventure","Fantasy",848859152
"10",2019,10,6.5,"PG-13","Fast & Furious Presents: Hobbs & Shaw",2e+08,137,"Universal Pictures",758910100,173810100,"Action","Adventure","NULL",558910100
"11",2018,1,8.5,"PG-13","Avengers: Infinity War",3.21e+08,149,"Walt Disney",2048359754,678815482,"Action","Adventure","Sci-Fi",1727359754
"12",2018,2,7.3,"PG-13","Black Panther",2e+08,134,"Walt Disney",1346913161,700059566,"Action","Adventure","Sci-Fi",1146913161
"13",2018,3,6.2,"PG-13","Jurassic World: Fallen Kingdom",1.7e+08,128,"Universal Pictures",1308467944,417719760,"Action","Adventure","Sci-Fi",1138467944
"14",2018,4,7.7,"PG","Incredibles 2",2e+08,118,"Walt Disney",1242805359,608581744,"Animation","Action","Adventure",1042805359
"15",2018,5,7,"PG-13","Aquaman",1.6e+08,143,"Warner Bros.",1148161807,335061807,"Action","Adventure","Fantasy",988161807
"16",2018,6,8,"PG-13","Bohemian Rhapsody",5.2e+07,134,"Twentieth Century Fox",903655259,216428042,"Biography","Drama","Music",851655259
"17",2018,7,6.7,"PG-13","Venom",1e+08,112,"Sony Pictures",856085151,213515506,"Action","Sci-Fi","Thriller",756085151
"18",2018,8,7.8,"PG-13","Mission: Impossible - Fallout",1.78e+08,147,"Paramount Pictures",791115104,220159104,"Action","Adventure","Thriller",613115104
"19",2018,9,7.7,"R","Deadpool 2",1.1e+08,119,"Twentieth Century Fox",734546611,318491426,"Action","Adventure","Comedy",624546611
"20",2018,10,6.6,"PG-13","Fantastic Beasts: The Crimes of Grindelwald",2e+08,134,"Warner Bros.",653755901,159555901,"Adventure","Family","Fantasy",453755901
"21",2017,1,7,"PG-13","Star Wars: Episode VIII - The Last Jedi",3.17e+08,152,"Walt Disney",1332539889,620181382,"Action","Adventure","Fantasy",1015539889
"22",2017,2,7.1,"PG","Beauty and the Beast",1.6e+08,129,"Walt Disney",1263521126,504014165,"Family","Fantasy","Musical",1103521126
"23",2017,3,6.7,"PG-13","The Fate of the Furious",2.5e+08,136,"Universal Pictures",1236005118,226008385,"Action","Adventure","Thriller",986005118
"24",2017,4,6.3,"PG","Despicable Me 3",8e+07,89,"Universal Pictures",1034799409,264624300,"Animation","Adventure","Comedy",954799409
"25",2017,5,6.9,"PG-13","Jumanji: Welcome to the Jungle",9e+07,119,"Sony Pictures",962077546,404515480,"Action","Adventure","Comedy",872077546
"26",2017,6,7.4,"PG-13","Spider-Man: Homecoming",1.75e+08,133,"Sony Pictures",880166924,334201140,"Action","Adventure","Sci-Fi",705166924
"27",2017,7,6,"NULL","Wolf Warrior 2",30100000,123,"The H Collective",870325439,2721100,"Action","Drama","Thriller",840225439
"28",2017,8,7.6,"PG-13","Guardians of the Galaxy Vol. 2",2e+08,136,"Walt Disney",863756051,389813101,"Action","Adventure","Comedy",663756051
"29",2017,9,7.9,"PG-13","Thor: Ragnarok",1.8e+08,130,"Walt Disney",853977126,315058289,"Action","Adventure","Comedy",673977126
"30",2017,10,7.4,"PG-13","Wonder Woman",1.49e+08,141,"Warner Bros.",821847012,412563408,"Action","Adventure","Fantasy",672847012
"31",2016,1,7.8,"PG-13","Captain America: Civil War",2.5e+08,147,"Walt Disney",1153296293,408084349,"Action","Adventure","Sci-Fi",903296293
"32",2016,2,7.8,"PG-13","Rogue One: A Star Wars Story",2e+08,133,"Walt Disney",1056057273,532177324,"Action","Adventure","Sci-Fi",856057273
"33",2016,3,7.3,"PG","Finding Dory",2e+08,97,"Walt Disney",1028570889,486295561,"Animation","Adventure","Comedy",828570889
"34",2016,4,8,"PG","Zootopia",1.5e+08,108,"Walt Disney",1023784195,341268248,"Animation","Adventure","Comedy",873784195
"35",2016,5,7.4,"PG","The Jungle Book",1.75e+08,106,"Walt Disney",966550600,364001123,"Adventure","Drama","Fantasy",791550600
"36",2016,6,6.5,"PG","The Secret Life of Pets",7.5e+07,87,"Universal Pictures",875457937,368384330,"Animation","Adventure","Comedy",800457937
"37",2016,7,6.6,"PG-13","Fantastic Beasts and Where to Find Them",1.8e+08,134,"Warner Bros.",814037575,234037575,"Adventure","Family","Fantasy",634037575
"38",2016,8,8,"R","Deadpool",5.8e+07,108,"Twentieth Century Fox",782612155,363070709,"Action","Adventure","Comedy",724612155
"39",2016,9,6,"PG-13","Suicide Squad",1.75e+08,123,"Warner Bros.",746846894,325100054,"Action","Adventure","Fantasy",571846894
"40",2016,10,7.5,"PG-13","Doctor Strange",1.65e+08,115,"Walt Disney",677718395,232641920,"Action","Adventure","Fantasy",512718395
"41",2015,1,7.9,"PG-13","Star Wars: Episode VII - The Force Awakens",2.45e+08,138,"Walt Disney",2068223624,936662225,"Action","Adventure","Sci-Fi",1823223624
"42",2015,2,7,"PG-13","Jurassic World",1.5e+08,124,"Universal Pictures",1670400637,652270625,"Action","Adventure","Sci-Fi",1520400637
"43",2015,3,7.2,"PG-13","Furious 7",1.9e+08,137,"Universal Pictures",1515047671,353007020,"Action","Adventure","Thriller",1325047671
"44",2015,4,7.3,"PG-13","Avengers: Age of Ultron",2.5e+08,141,"Walt Disney",1402805868,459005868,"Action","Adventure","Sci-Fi",1152805868
"45",2015,5,6.4,"PG","Minions",7.4e+07,91,"Universal Pictures",1159398397,336045770,"Animation","Adventure","Comedy",1085398397
"46",2015,6,6.8,"PG-13","Spectre",2.45e+08,148,"Sony Pictures",880674609,200074609,"Action","Adventure","Thriller",635674609
"47",2015,7,6.5,"PG-13","Batman v Superman: Dawn of Justice",2.5e+08,151,"Warner Bros.",873634919,330360194,"Action","Adventure","Sci-Fi",623634919
"48",2015,8,8.2,"PG","Inside Out",1.75e+08,95,"Walt Disney",857611174,356461711,"Animation","Adventure","Comedy",682611174
"49",2015,9,7.4,"PG-13","Mission: Impossible - Rogue Nation",1.5e+08,131,"Paramount Pictures",682714267,195042377,"Action","Adventure","Thriller",532714267
"50",2015,10,6.5,"PG-13","The Hunger Games: Mockingjay - Part 2",1.6e+08,137,"Lionsgate",658344137,281723902,"Action","Adventure","Sci-Fi",498344137
"51",2014,1,5.6,"PG-13","Transformers: Age of Extinction",2.1e+08,165,"Paramount Pictures",1104054072,245439076,"Action","Adventure","Sci-Fi",894054072
"52",2014,2,7.4,"PG-13","The Hobbit: The Battle of the Five Armies",2.5e+08,144,"Warner Bros.",956019788,255119788,"Adventure","Fantasy","NULL",706019788
"53",2014,3,8,"PG-13","Guardians of the Galaxy",1.7e+08,121,"Walt Disney",772776600,333176600,"Action","Adventure","Comedy",602776600
"54",2014,4,7,"PG","Maleficent",1.8e+08,97,"Walt Disney",758410378,241410378,"Action","Adventure","Fantasy",578410378
"55",2014,5,6.6,"PG-13","The Hunger Games: Mockingjay - Part 1",1.25e+08,123,"Lionsgate",755356711,337135885,"Action","Adventure","Sci-Fi",630356711
"56",2014,6,8,"PG-13","X-Men: Days of Future Past",2e+08,132,"Twentieth Century Fox",746045700,233921534,"Action","Adventure","Sci-Fi",546045700
"57",2014,7,7.7,"PG-13","Captain America: The Winter Soldier",1.7e+08,136,"Walt Disney",714421503,259766572,"Action","Adventure","Sci-Fi",544421503
